17516,16023,19854
14776,9059,15869
6219,4592,13876
2454,4665,9734
19865,11184,7561
4389,6280,11163
11386,18448,6
5081,14148,16730
8665,2280,12944
4260,6140,16585
3780,8212,12523
2220,1661,3406
14814,6010,1589
1618,12819,10302
15204,14514,9796
6929,17986,14125
9175,1602,6698
13965,19220,16510
12666,10554,8977
8577,6584,12729
13033,4185,9327
16964,3052,13618
791,1223,4656
4292,5106,10996
7749,10294,5042
16420,9125,1325
14904,10027,12490
18165,18423,3222
7962,18090,17047
8772,13022,19715
5590,16670,18928
13564,16424,13173
4243,17919,1247
10710,1308,15663
11367,16460,7149
1840,14824,18770
16003,16790,4910
115,6885,808
14917,10016,8669
14480,16061,13517
1027,12451,2605
4393,17557,3879
17460,15193,2467
6054,7707,13040
3302,5774,1495
11372,1361,10882
8842,7727,18527
11200,7881,11864
10060,2095,8504
5919,17216,19749
15153,12874,1702
18803,2435,78
2298,13070,12535
12197,15713,6395
17902,15368,659
18806,10855,19017
15283,1758,12156
19088,3551,2081
18572,17776,2402
10079,13588,805
19047,12029,11382
14285,5225,8009
4443,13376,9637
18405,10548,11373
9137,13714,18268
12818,1638,7994
10458,10871,9944
17466,6435,2440
2950,13354,764
16077,3437,17099
4220,9928,16599
11660,18512,1195
14257,8024,7161
819,58,15775
11984,16709,438
14976,6185,1443
14275,15152,7413
778,18276,8617
4321,6284,10008
4594,19676,12037
12399,8775,18486
17340,5811,6533
9220,11096,65
6260,11521,2876
12795,14417,2638
17280,18518,11639
1017,11278,15342
2634,9883,11446
7994,8895,18748
4174,4346,19307
16113,10634,2317
6087,7877,10324
16639,2685,22
584,5727,2577
4534,12814,3438
12399,12819,16180
15603,557,19984
12135,1388,3484
7441,6159,16927
19089,12790,5477
17775,17610,18751
7953,106,15071
654,10308,10079
16551,4393,17230
14445,8932,17950
19325,15510,12812
14530,3540,7250
11509,17298,3267
3552,2268,5115
9033,18967,8689
15284,10786,1403
2403,10985,12302
172,9476,19379
7489,6232,3544
14018,3872,3184
2911,10876,17438
18423,18973,18847
15603,12983,5091
19075,13878,13518
13947,7292,16023
4358,7829,6043
17372,6499,15337
8627,18517,5781
19272,1497,17342
3597,11812,17284
13361,5067,9816
11156,11301,1302
1269,11280,16135
12230,19947,14215
18323,15131,9936
18968,3535,19664
18544,5069,1988
10121,8177,12162
19162,13002,15777
10436,8143,11170
8670,16852,3028
9668,16866,714
7012,5878,15722
19895,12930,9826
16705,8355,7822
1610,301,6036
9539,13016,12854
432,12080,9108
11246,7962,16337
9838,4386,4344
1321,4475,8699
6229,17854,19485
8657,3170,15698
4315,5005,16152
13017,16944,7737
17433,7548,3967
1383,18196,12424
11748,13691,7430
5043,13413,9973
4190,8494,12391
3103,2521,13632
16285,10735,18252
5924,4315,5561
13665,8256,1642
13205,2968,9312
10644,8904,4334
10352,10430,1330
11035,16819,12598
11827,10069,6818
13217,5690,10130
14212,7031,8556
13259,1350,5739
5709,10685,6360
15330,8911,9193
14948,17573,11956
4538,15147,6962
13601,13254,14110
17068,11041,14382
6198,13362,114
19232,16912,14445
15601,8316,9225
2435,11581,6547
9937,9449,17034
16427,14959,17174
16421,19263,14897
14834,3967,8931
17422,1805,7032
5381,2747,5772
2217,10640,8006
766,18317,16810
16146,13581,6061
15741,2159,2223
7463,15475,1941
12892,15354,5434
4061,10586,9809
17063,19484,1333
14409,17847,4925
10794,9825,3248
186,11682,10685
4934,1911,10716
17143,18425,955
15363,13955,19516
19883,18271,3036
17104,17797,10951
15024,14895,5654
340,16294,16485
12952,13424,15911
9145,9868,4205
14832,5449,7984
3379,5074,10643
18685,2897,3556
9264,11359,15317
17990,8890,4402
13686,338,3791
11221,14286,15905
12878,12366,11942
11352,2237,14074
11273,14253,2893
2703,6266,18681
853,10224,1570
8060,10396,4108
9633,9192,16755
9011,10566,10667
14558,19222,2937
636,8562,10074
2966,1345,1178
12504,15412,891
13236,15157,2467
9423,14776,9337
18741,2737,7897
4110,7027,2959
